track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_name,playlist_id,album_type,album_id,artist_id,explicit,track_popularity,market_id,num_avail_markets,num_artists,playlist_rank,artist_name,followers,genres,artist_popularity,cluster,artist_genre
21Zbtf6Pt7OUoxs5poeCQ3,0.522,0.492,0.0,-12.356,0.0,0.165,0.48,2.49e-06,0.528,0.551,77.656,227691.0,4.0,Космос,37i9dQZEVXbLRLeF2cVSaP,compilation,1K7PZYglmBEOS0NN15fIBJ,3vvLuXEEf7sl3izJcw0GIn,False,60,belarus,184,2,33,Skryptonite,2169306,"['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']",62,7,Hip Hop
21Zbtf6Pt7OUoxs5poeCQ3,0.522,0.492,0.0,-12.356,0.0,0.165,0.48,2.49e-06,0.528,0.551,77.656,227691.0,4.0,Космос,37i9dQZEVXbLeBcWrdps2V,compilation,1K7PZYglmBEOS0NN15fIBJ,3vvLuXEEf7sl3izJcw0GIn,False,60,kazakhstan,184,2,44,Skryptonite,2169306,"['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']",62,7,Hip Hop
1P9oRiZJWnxe2pZmYUZ5eC,0.358,0.41600000000000004,0.0,-10.972,0.0,0.0596,0.325,0.356,0.17300000000000001,0.128,139.945,279250.0,3.0,Это любовь,37i9dQZEVXbLRLeF2cVSaP,album,7j7tgADtrPaN7Rrfb8qIcI,3vvLuXEEf7sl3izJcw0GIn,True,63,belarus,184,1,13,Skryptonite,2169306,"['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']",62,4,Hip Hop
1P9oRiZJWnxe2pZmYUZ5eC,0.358,0.41600000000000004,0.0,-10.972,0.0,0.0596,0.325,0.356,0.17300000000000001,0.128,139.945,279250.0,3.0,Это любовь,37i9dQZEVXbLeBcWrdps2V,album,7j7tgADtrPaN7Rrfb8qIcI,3vvLuXEEf7sl3izJcw0GIn,True,63,kazakhstan,184,1,36,Skryptonite,2169306,"['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']",62,4,Hip Hop
78ZkwNG2wXWlwTasHCbcGf,0.878,0.309,6.0,-9.548,1.0,0.47500000000000003,0.28300000000000003,0.0,0.101,0.637,76.008,152368.0,4.0,Crazy Crazy,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,52,south_africa,183,1,28,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,2,Hip Hop
4i8Z8v8PoeUb6IALQAB2ut,0.765,0.448,10.0,-11.166,0.0,0.332,0.296,4.08e-06,0.23,0.39,122.965,212683.0,4.0,Prosper In Peace (with Benny The Butcher),37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,54,south_africa,183,2,21,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,3,Hip Hop
768qVMFHdL3geXl0jQa8Nn,0.483,0.492,9.0,-8.54,1.0,0.161,0.20800000000000002,0.0,0.28600000000000003,0.198,134.01,188773.0,4.0,She's Gone & The End,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,55,south_africa,183,1,19,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,2,Hip Hop
2c1S90fMgtMJbQYHfJJvNw,0.488,0.668,8.0,-7.43,1.0,0.23600000000000002,0.109,0.0,0.106,0.385,147.987,181417.0,4.0,Broken Marriages,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,52,south_africa,183,1,37,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,2,Hip Hop
5iT4MuQFRS3WCpWjORIpiN,0.493,0.5660000000000001,0.0,-6.945,0.0,0.17,0.28700000000000003,7.12e-05,0.14100000000000001,0.41000000000000003,95.212,180157.0,4.0,Endless,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,False,55,south_africa,183,1,14,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,7,Hip Hop
1JMNAsjUFWe24TrGyVdhXa,0.638,0.806,1.0,-7.313,1.0,0.368,0.0030700000000000002,0.0,0.263,0.714,76.171,150587.0,4.0,Fuck That,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,52,south_africa,183,1,40,Nasty C,1641364,"['south african hip hop', 'south african trap']",61,1,Hip Hop
