track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_name,playlist_id,album_type,album_id,artist_id,explicit,track_popularity,market_id,num_avail_markets,num_artists,playlist_rank,artist_name,followers,artist_popularity,PC1,PC2,PC3,PC4,PC5,PC6,Cluster
7bFFUPBiF15n8m8RziqS4o,0.581,0.558,5.0,-10.404,1.0,0.0432,0.627,0.00022,0.10200000000000001,0.271,76.992,281494.0,4.0,dự báo thời tiết hôm nay mưa,37i9dQZEVXbKZyn1mKjmIl,single,7q2bB2NNFlNbtqadbn55pL,6d0dLenjy5CnR5ZMn2agiV,False,63,vietnam,183,1,41,GREY D,189382,60,-0.741344522551487,1.7238079054570865,1.3330095009433673,0.48699034288905263,0.38825258358720166,1.06801040838489,1
08ULi904W2Po6pVj8nN7KC,0.664,0.531,3.0,-10.227,1.0,0.0391,0.674,1.5399999999999998e-05,0.353,0.644,90.96,240000.0,4.0,đưa em về nhàa,37i9dQZEVXbKZyn1mKjmIl,single,5ED6WiHXLHGTBITUv6ayAy,6d0dLenjy5CnR5ZMn2agiV,False,65,vietnam,183,2,28,GREY D,189382,60,-0.5148471866941187,0.31539738234906267,-0.31057315907043165,-0.3543325106006385,-0.41674720388275344,-0.8559071135204777,0
25h0TqC9H3BcMA7KjK5nHK,0.56,0.42,7.0,-10.729,1.0,0.257,0.882,0.000605,0.11,0.585,173.695,225862.0,4.0,vaicaunoicokhiennguoithaydoi,37i9dQZEVXbKZyn1mKjmIl,single,5Gu0Ldddj2f6a0q5gitIok,6d0dLenjy5CnR5ZMn2agiV,False,67,vietnam,183,2,15,GREY D,189382,60,-1.085240661439606,-0.8793841039275919,-0.11903037196603983,0.1041599880576767,-0.8674407668671554,-0.14201022796603038,0
0uHbsPVRr12ERCABBWVbe0,0.587,0.81,9.0,-3.519,0.0,0.09620000000000001,0.161,0.0,0.121,0.424,157.863,184488.0,4.0,Oisko tää täs,37i9dQZEVXbJQ9kF73GOT2,single,67o8azfNdjm3DER0vezrN3,55mdlQp6zN8zdyIYB9DDQj,False,61,finland,183,1,45,JVG,335376,57,-1.2084503466357261,-1.6677861352451382,1.0649253930420455,-0.736412580021024,-0.6000513796679297,0.15348371118565,0
58m9mqwBLliFpIFSYzprSn,0.639,0.28600000000000003,5.0,-7.472,0.0,0.0397,0.9450000000000001,0.0,0.12,0.393,133.851,197015.0,4.0,עטלף עיוור,37i9dQZEVXbJ5J1TrbkAF9,single,2bku6qb6eo1fbkHvnd6J8o,54jZWpivOTllo1afYNSx5U,False,56,israel,184,1,43,Eyal Golan,785825,58,-2.222606542081211,-2.5149071012801643,0.3737293245847318,-2.3076737097870312,4.856977518240909,0.6823529127016983,0
7q40jR7vLHky0IKFTJWJ4K,0.40900000000000003,0.453,11.0,-8.051,0.0,0.0364,0.233,0.0,0.211,0.154,103.094,246944.0,4.0,שלום אהובתי,37i9dQZEVXbJ5J1TrbkAF9,single,3OXK2W6Y0arDMf7aNRJN86,54jZWpivOTllo1afYNSx5U,False,57,israel,184,1,11,Eyal Golan,785825,58,-1.9179341122580724,-0.7676150266302861,-0.39390703840095354,-0.011531763641284077,-0.1572676825414483,-0.16114437471972753,0
6NUzJGlQORUv6NjUwcefr8,0.723,0.741,11.0,-6.608,0.0,0.0332,0.0594,0.0,0.09630000000000001,0.556,100.012,250879.0,4.0,עיר נמל,37i9dQZEVXbJ5J1TrbkAF9,album,1rK9oII8KSQLi5WRYhVaVk,54jZWpivOTllo1afYNSx5U,False,59,israel,184,1,17,Eyal Golan,785825,58,-1.9179341122580724,-0.7676150266302861,-0.39390703840095354,-0.011531763641284077,-0.1572676825414483,-0.16114437471972753,0
6OXv4CrNp3DFRj6Cu1GojJ,0.58,0.47000000000000003,11.0,-8.913,0.0,0.033100000000000004,0.47900000000000004,0.0,0.0782,0.381,136.032,230823.0,4.0,מתי את חוזרת,37i9dQZEVXbJ5J1TrbkAF9,album,1rK9oII8KSQLi5WRYhVaVk,54jZWpivOTllo1afYNSx5U,False,53,israel,184,1,36,Eyal Golan,785825,58,-1.9179341122580724,-0.7676150266302861,-0.39390703840095354,-0.011531763641284077,-0.1572676825414483,-0.16114437471972753,0
21Zbtf6Pt7OUoxs5poeCQ3,0.522,0.492,0.0,-12.356,0.0,0.165,0.48,2.49e-06,0.528,0.551,77.656,227691.0,4.0,Космос,37i9dQZEVXbLRLeF2cVSaP,compilation,1K7PZYglmBEOS0NN15fIBJ,3vvLuXEEf7sl3izJcw0GIn,False,60,belarus,184,2,33,Skryptonite,2169306,62,-0.1118096350552014,2.418438145922441,1.0976781609144672,-0.7598378283061222,0.7764229958082819,0.23081229801716302,1
21Zbtf6Pt7OUoxs5poeCQ3,0.522,0.492,0.0,-12.356,0.0,0.165,0.48,2.49e-06,0.528,0.551,77.656,227691.0,4.0,Космос,37i9dQZEVXbLeBcWrdps2V,compilation,1K7PZYglmBEOS0NN15fIBJ,3vvLuXEEf7sl3izJcw0GIn,False,60,kazakhstan,184,2,44,Skryptonite,2169306,62,-0.976673707656483,0.9130270253837157,0.14075548557272277,0.05881168378738143,0.08049892887734182,-0.5036311256913767,0
1P9oRiZJWnxe2pZmYUZ5eC,0.358,0.41600000000000004,0.0,-10.972,0.0,0.0596,0.325,0.356,0.17300000000000001,0.128,139.945,279250.0,3.0,Это любовь,37i9dQZEVXbLRLeF2cVSaP,album,7j7tgADtrPaN7Rrfb8qIcI,3vvLuXEEf7sl3izJcw0GIn,True,63,belarus,184,1,13,Skryptonite,2169306,62,2.7224266713632916,-0.7664964623981498,0.11500239619439605,-0.6904842896139224,0.558078209433271,-1.2907142287187496,2
1P9oRiZJWnxe2pZmYUZ5eC,0.358,0.41600000000000004,0.0,-10.972,0.0,0.0596,0.325,0.356,0.17300000000000001,0.128,139.945,279250.0,3.0,Это любовь,37i9dQZEVXbLeBcWrdps2V,album,7j7tgADtrPaN7Rrfb8qIcI,3vvLuXEEf7sl3izJcw0GIn,True,63,kazakhstan,184,1,36,Skryptonite,2169306,62,-0.5033719600212991,-0.2391319693169525,-1.7441617344801377,0.47499469081070167,-1.039021129355173,0.9079164731682899,0
